userID,ID,userName,Email,Password,PasswordFlag,Role,Position,Department,PhoneNumber,Created_At,Updated_At
100001,3,Tharun,tharun@gmail.com,$2b$10$k39buQCxaJOXeWzb.x8Dgu14NGsdS0sOmI6VJ8PY7zxNsMlJH9.Ca,0,Admin,HOD,CSE,1234567890,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100002,4,Tamil,tamil@gmail.com,$2b$10$ooqJA.nKOIau60ZA5kwhmuio9OsscdT1um8mgcMTCbMTrDchxFpDe,0,Admin,HOD,ECE,1234567891,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100003,5,Nishar,Nishar@gmail.com,$2b$10$AGt/x5e2sbNb0jj4Dn5/OOlT9ca.t7WlBwxUbXQCJRqIlPx4PwcB2,0,Admin,HOD,EEE,9123345668,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100004,6,Siva,siva@gmail.com,$2b$10$sANgsQT6iY1Q2XnExqr2JeRhqHYolvc1kK/UJAHj1NdSPYVBobO1q,0,Admin,HOD,MECH,1233456677,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100005,7,Balaji,balaji@gmail.com,$2b$10$dmThl6lm8z8AA0wzpbYLyu4.QcToZq842JxBPE7Zvhed2VFPUPjnm,0,Admin,HOD,CIVIL,1233456678,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100006,8,Suriya,suriya@gmail.com,$2b$10$weno5JMDKS7XvLdO99.CbeL5k0rqL02lRDFbDpgLv6WGe8g89AVrW,0,Admin,HOD,LAW,1233456688,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100007,9,Raja,raja@gmail.com,$2b$10$D7uQABB8u2dSANp2g56L3umotg50vTNnuf6KYRZo7gxeqmzqwevyu,0,Admin,HOD,BIOTECH,1233456633,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100008,10,Vendhan,vendhan@gmail.com,$2b$10$u1hmrA0/mimAkjfsK8Zd7eFVD83Nm.3IKAT0feMq.RQ86yTh3Zko6,0,Admin,HOD,IT,1233452266,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100009,11,Tarun,tarun@gmail.com,$2b$10$9Vp8z6pdHKA4fsNpI2MYkOJx8e3L977D3Gx9zHkMlGP30YFIPrcue,0,Admin,Service,IT,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100010,12,Tharakesh,tharakesh@gmail.com,$2b$10$YKzRgaGLargFUymNxsOyNek6RPdaER7ylv4MdqQePlh5Zml/jzeuy,0,Admin,Service,Water-Service,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
